 CUSTOMER ID ,CUSTOMER NAME,GENDER,CITY,STATE,SIGNUP DATE
C073,Akash Shetty,Male,Delhi,Delhi,11-03-2024
C074,Akash Iyer,Male,Kolkata,West Bengal,17-02-2025
C075,Vijay Rao,Male,Mysuru,Karnataka,15-08-2025
C076,Aditya Rao,Male,Kolkata,West Bengal,05-03-2025
C077,Pooja Rao,Female,Kochi,Kerala,24-09-2024
C078,Riya Joshi,Female,Mangaluru,Karnataka,01-09-2024
C079,Karan Reddy,Female,Hyderabad,Telangana,13-04-2025
C080,Yash Mehta,Male,Chennai,Tamil Nadu,10-01-2024
C081,Rahul Rao,Male,Mumbai,Maharashtra,16-03-2024
C082,Bhavya Nair,Female,Delhi,Delhi,15-05-2024
C083,Isha Verma,Male,Bhubaneswar,Odisha,07-09-2024
C084,Diya Reddy,Female,Chennai,Tamil Nadu,10-07-2025
C085,Diya Rao,Male,Ahmedabad,Gujarat,14-11-2025
C086,Neha Singh,Male,Lucknow,Uttar Pradesh,17-05-2024
C087,Ananya Verma,Male,Hyderabad,Telangana,30-01-2026
C088,Arjun Singh,Female,Delhi,Delhi,11-09-2025
C089,Rohan Das,Male,Mangaluru,Karnataka,04-12-2025
C090,Varun Singh,Female,Kochi,Kerala,14-09-2024
C091,Yash Shetty,Male,Bhubaneswar,Odisha,04-04-2024
C092,Kavya Shetty,Female,Kochi,Kerala,15-02-2024
C093,Gaurav Mehta,Male,Bengaluru,Karnataka,14-10-2025
C094,Asha Joshi,Female,Hyderabad,Telangana,18-07-2025
C095,Kavya Nair,Male,Ahmedabad,Gujarat,24-04-2024
C096,Vijay Joshi,Male,Mysuru,Karnataka,12-07-2025
C097,Tanvi Das,Male,Bengaluru,Karnataka,16-03-2025
C098,Aditya Singh,Female,Ballari,Karnataka,26-03-2026
C099,Aditya Verma,Female,Lucknow,Uttar Pradesh,03-08-2024
C100,Charan Iyer,Male,Kochi,Kerala,28-12-2024
